Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
China Index Holdings Ltd,CIH,,0.0,,,6.48
China Merchants Port Holdings Company Limited,CMHHF,Marine Ports & Services,0.0,,,
China Railway Group Limited,CRWOF,Construction & Engineering,0.5667,,,
China Shuifa Singyes Energy Holdings Limited,CSSXF,Construction & Engineering,0.0,,,
China Southern Airlines Company Limited,CHKIF,Airlines,0.763,,,
China State Construction International Holdings Limited,CCOHF,Construction & Engineering,0.0,,,
China Yuchai International Limited,CYD,Construction Machinery & Heavy Trucks,-0.085699,337080893.0,7101.0,8.68
Cimpress NV,CMPR,Commercial Printing,0.0,,,113.72
Cintas Corporation,CTAS,Diversified Support Services,0.564498,,,
Civeo Corp,CVEO,Diversified Support Services,0.147425,396377104.0,28578.0,28.67
Clarivate Analytics Plc,CCC,,0.28079,,,
"Clean Harbors, Inc",CLH,Environmental & Facilities Services,0.0495,10850181259.0,101284.0,38.85
"CoStar Group, Inc",CSGP,Research & Consulting Services,0.134468,,,33.52
Columbus McKinnon Corporation,CMCO,Industrial Machinery,0.496117,,,
"Comfort Systems USA, Inc",FIX,Construction & Engineering,0.0,10788527839.0,190220.0,134.63
Commercial Vehicle Group Inc,CVGI,Construction Machinery & Heavy Trucks,0.0,,,
CompX International Inc,CIX,Office Services & Supplies,0.802777,,,86.56
Concrete Pumping Holdings Class A,BBCP,Construction & Engineering,0.0,,,12.67
"Concrete Pumping Holdings, Inc",BBCP,Construction & Engineering,0.0,,,12.67
Construction Partners Inc,ROAD,Construction & Engineering,0.875,,,120.05
Continental Materials Corporation,CUO,Building Products,0.0,,,
"Controladora Vuela Compania de Aviacion, S.A.B. de C.V",CTTRF,Airlines,0.552757,,,
"Copa Holdings, S.A",CPA,Airlines,0.0,2897270400.0,76380.0,17.24
"Copart, Inc",CPRT,Diversified Support Services,-0.063047,,,
Corporacion America Airports S.A,CAAP,Airport Services,0.081775,2760095975.0,92766.0,62.15
Costamare Inc,CMRE,Marine,0.180767,1320468920.0,264126.0,16.89
Covanta Holding Corporation,CVA,Environmental & Facilities Services,-0.032017,,,
"Covenant Transportation Group, Inc",CVTI,Trucking,0.7793,,,
Crane Company,CR,Industrial Machinery,-0.096284,7713632235.0,68452.0,68.32
Cubic Corporation,CUB,Aerospace & Defense,-0.041802,,,
